ACC X (G)_mean,ACC X (G)_std,ACC X (G)_max,ACC X (G)_min,ACC Y (G)_mean,ACC Y (G)_std,ACC Y (G)_max,ACC Y (G)_min,ACC Z (G)_mean,ACC Z (G)_std,ACC Z (G)_max,ACC Z (G)_min,GYRO X (deg/s)_mean,GYRO X (deg/s)_std,GYRO X (deg/s)_max,GYRO X (deg/s)_min,GYRO Y (deg/s)_mean,GYRO Y (deg/s)_std,GYRO Y (deg/s)_max,GYRO Y (deg/s)_min,GYRO Z (deg/s)_mean,GYRO Z (deg/s)_std,GYRO Z (deg/s)_max,GYRO Z (deg/s)_min,Movement,Condition
0.16101663433926197,-0.3558274950611361,-0.5178911370518735,-0.5801300954775319,0.764177800382013,0.15214663156499267,0.23635469324477648,0.09277448272588597,0.12984628540628027,0.3958366588117548,0.41136171407374966,0.3568979688708903,0.6198521973828142,-0.09414626743993741,-0.23149945444746658,-0.20756980446902623,1.7159901802923814,0.8228277977612803,-0.18553266627777765,-0.5213119022838892,-0.7454272265582761,-1.5599409348462836,0.28675882885582415,-0.3982910120357588,Pegs diagonally placed,Exo
0.5202444636970813,-0.26129598986769736,-0.577663135304818,-0.847073786351663,1.2708681685576442,0.3370938592328294,0.21321167919037826,0.1996707838380874,0.21055797944706608,0.39723955845439246,0.4903592550547979,0.32824017549583623,0.8744580816333624,0.0868561118285663,-0.23149945444746658,-0.19959122204731194,2.233854656370234,0.8228277977612803,0.14181730026670955,-0.5840593212725989,-1.0984730504099374,-1.5599409348462836,0.32388174553261373,-0.16474370980935715,Pegs diagonally placed,Exo
0.9514893282606016,0.0889314725917042,-0.7163118969158907,-0.5610612625538138,0.8581915299569602,0.03196985580215814,0.3412980532480396,0.3054732451143976,0.1845618031572549,0.4124256618109158,0.7353793570276242,0.33451146465463616,1.4590120493833072,0.4536872907449641,-0.4169601252712735,-0.11581601175387371,2.233854656370234,0.7227361035815688,0.321080453194489,-0.5840593212725989,-1.0984730504099374,-1.4522299740164804,-0.13644214424855583,-0.3649271237032856,Pegs diagonally placed,Exo
1.1984048714564453,0.29990780059312366,-0.7842174250850661,-0.31765441609165296,0.208076861341807,-0.2068489517824984,0.18500390363467856,0.10615077270167374,0.17526197187778422,0.19934059629568915,0.1961358974840449,0.10341506235040943,1.4590120493833072,0.4536872907449641,-0.4169601252712735,-0.022067588153791607,0.8027670327706349,0.033215440728248405,0.8796543155431812,0.04824227750804657,-1.127521338852253,-0.6543709009546614,-0.13644214424855583,-0.3649271237032856,Pegs diagonally placed,Exo
1.2110052651419663,0.2656138917674081,-0.8693506654336897,-0.1822577407939,0.1075480660543395,-0.1650773463945764,0.14726034406143393,0.15496517192632728,0.12994560011666895,0.26820953373780326,0.26220188340861716,0.11700892487553849,1.497982207485186,0.5574620013724283,-0.6180622173808754,0.23923124621950098,0.5521875324130503,0.033215440728248405,0.939408345136494,-0.05070601274002725,-1.127521338852253,-0.6543709009546614,-0.4315691446182878,-0.3337874804882029,Pegs diagonally placed,Exo
1.2375050418208537,0.35099873476212146,-0.8406600978520844,-0.06359615260995942,-0.12283660619952906,-0.055754962240831894,0.15142167759355923,0.16053152563430587,0.110583754886599,0.14952764490144782,0.2774037912546471,0.1216481176486332,1.497982207485186,0.5574620013724283,-0.6314690845373969,0.23923124621950098,0.5521875324130503,0.12885862643424656,1.0277411291598892,-0.05070601274002725,-1.0649561113281893,-0.317275458336977,-0.46869203998653736,-0.3337874804882029,Pegs diagonally placed,Exo
1.1984828096443534,0.34257610481629563,-0.9016387187253069,-0.020052994047794984,0.016281436270775072,-0.05433143606384646,0.11320685897721652,0.12418157988174401,0.1721007783103173,0.17986822378109107,0.35032350191090406,0.14200869369912658,1.4590120493833072,0.5164347097336738,-0.6314690845373969,0.3230064466992732,0.7433704604541634,0.12885862643424656,1.0277411291598892,0.05065573482628141,-1.3196852144447648,-0.317275458336977,-0.46869203998653736,-0.38939398049718615,Pegs diagonally placed,Exo
1.2140449289607305,0.2501200888928355,-0.9464174399471069,0.07977911786727354,0.13652248676747447,-0.05453161965648193,0.11024371369190192,0.1231683241884901,0.15164891547413004,0.1513168173309373,0.46590753108765354,0.144544180411102,1.4875902717394693,0.4826477900496237,-0.7230821428846647,0.3230064466992732,1.0347851326272905,0.17779235096540713,0.9939666728939084,0.02410869283985662,-1.3196852144447648,-0.1896179792996701,-0.9327281909946141,-0.38939398049718615,Pegs diagonally placed,Exo
1.2060170987388479,0.24645176227595914,-0.9436466980792051,0.13323567334825356,-0.09486450709809996,-0.007088151282234821,0.11350557376117552,0.09760657329965783,0.1068703435400824,0.1406027137501752,0.4105039227976674,0.07854585234942323,1.4875902717394693,0.4633406257608242,-0.7230821428846647,0.356915453068168,1.0347851326272905,0.17779235096540713,0.9939666728939084,0.02410869283985662,-1.1118799175664589,-0.1896179792996701,-0.9327281909946141,-0.14027684571988366,Pegs diagonally placed,Exo
1.2909462857024414,0.22289736288100845,-0.9023090163212218,0.22321422678037112,0.1358171504982739,-0.029108326774089085,0.18198426522524375,0.09911005422041586,0.14331403349933503,0.10267900849975332,0.34504534793469854,0.11305456080222116,1.711019816678946,0.34267270241987463,-0.5823107241698549,0.394813760461586,0.8417460450539906,0.331266289093352,1.084897573872213,-0.06518576813527778,-1.0783629784847109,0.011841421486325226,-0.4000146852295182,-0.2715081867624644,Pegs diagonally placed,Exo
